Category,Allocated UUID,Allocated for,,,,,
16-bit UUID for Members,0xFCF0,"Security Enhancement Systems, LLC",,,,,
16-bit UUID for Members,0xFCF1,Google LLC,,,,,
16-bit UUID for Members,0xFCF2,Bitwards Oy,,,,,
16-bit UUID for Members,0xFCF3,Armatura LLC,,,,,
16-bit UUID for Members,0xFCF4,Allegion,,,,,
16-bit UUID for Members,0xFCF5,"Trident Communication Technology, LLC",,,,,
16-bit UUID for Members,0xFCF6,The Linux Foundation,,,,,
16-bit UUID for Members,0xFCF7,"Honor Device Co., Ltd.",,,,,
16-bit UUID for Members,0xFCF8,"Honor Device Co., Ltd.",,,,,
16-bit UUID for Members,0xFCF9,"Leupold & Stevens, Inc.",,,,,
16-bit UUID for Members,0xFCFA,"Leupold & Stevens, Inc.",,,,,
16-bit UUID for Members,0xFCFB,"Shenzhen Benwei Media Co., Ltd.",,,,,
16-bit UUID for Members,0xFCFC,Barrot Technology Limited,,,,,
16-bit UUID for Members,0xFCFD,Barrot Technology Limited,,,,,
16-bit UUID for Members,0xFCFE,Sennheiser Consumer Audio GmbH,,,,,
16-bit UUID for Members,0xFCFF,701x,,,,,
16-bit UUID for Members,0xFD00,"FUTEK Advanced Sensor Technology, Inc.",,,,,
16-bit UUID for Members,0xFD01,Sanvita Medical Corporation,,,,,
16-bit UUID for Members,0xFD02,LEGO System A/S,,,,,
16-bit UUID for Members,0xFD03,Quuppa Oy,,,,,
16-bit UUID for Members,0xFD04,Shure Inc.,,,,,
16-bit UUID for Members,0xFD05,"Qualcomm Technologies, Inc.",,,,,
16-bit UUID for Members,0xFD06,RACE-AI LLC,,,,,
16-bit UUID for Members,0xFD07,Swedlock AB,,,,,
16-bit UUID for Members,0xFD08,Bull Group Incorporated Company,,,,,
16-bit UUID for Members,0xFD09,Cousins and Sears LLC,,,,,
16-bit UUID for Members,0xFD0A,"Luminostics, Inc.",,,,,
16-bit UUID for Members,0xFD0B,"Luminostics, Inc.",,,,,
16-bit UUID for Members,0xFD0C,OSM HK Limited,,,,,
16-bit UUID for Members,0xFD0D,Blecon Ltd,,,,,
16-bit UUID for Members,0xFD0E,"HerdDogg, Inc",,,,,
16-bit UUID for Members,0xFD0F,"AEON MOTOR CO.,LTD.",,,,,
16-bit UUID for Members,0xFD10,"AEON MOTOR CO.,LTD.",,,,,
16-bit UUID for Members,0xFD11,"AEON MOTOR CO.,LTD.",,,,,
16-bit UUID for Members,0xFD12,"AEON MOTOR CO.,LTD.",,,,,
16-bit UUID for Members,0xFD13,"BRG Sports, Inc.",,,,,
16-bit UUID for Members,0xFD14,"BRG Sports, Inc.",,,,,
16-bit UUID for Members,0xFD15,Panasonic Corporation,,,,,
16-bit UUID for Members,0xFD16,"Sensitech, Inc.",,,,,
16-bit UUID for Members,0xFD17,LEGIC Identsystems AG,,,,,
16-bit UUID for Members,0xFD18,LEGIC Identsystems AG,,,,,
16-bit UUID for Members,0xFD19,Smith & Nephew Medical Limited,,,,,
16-bit UUID for Members,0xFD1A,CSIRO,,,,,
16-bit UUID for Members,0xFD1B,"Helios Sports, Inc.",,,,,
16-bit UUID for Members,0xFD1C,Brady Worldwide Inc.,,,,,
16-bit UUID for Members,0xFD1D,"Samsung Electronics Co., Ltd",,,,,
16-bit UUID for Members,0xFD1E,Plume Design Inc.,,,,,
16-bit UUID for Members,0xFD1F,3M,,,,,
16-bit UUID for Members,0xFD20,GN Hearing A/S,,,,,
16-bit UUID for Members,0xFD21,"Huawei Technologies Co., Ltd.",,,,,
16-bit UUID for Members,0xFD22,"Huawei Technologies Co., Ltd.",,,,,
16-bit UUID for Members,0xFD23,DOM Sicherheitstechnik GmbH & Co. KG,,,,,
16-bit UUID for Members,0xFD24,"GD Midea Air-Conditioning Equipment Co., Ltd.",,,,,
16-bit UUID for Members,0xFD25,"GD Midea Air-Conditioning Equipment Co., Ltd.",,,,,
16-bit UUID for Members,0xFD26,Novo Nordisk A/S,,,,,
16-bit UUID for Members,0xFD27,i2Systems,,,,,
16-bit UUID for Members,0xFD28,Julius Blum GmbH,,,,,
16-bit UUID for Members,0xFD29,Asahi Kasei Corporation,,,,,
16-bit UUID for Members,0xFD2A,Sony Corporation,,,,,
16-bit UUID for Members,0xFD2B,The Access Technologies,,,,,
16-bit UUID for Members,0xFD2C,The Access Technologies,,,,,
16-bit UUID for Members,0xFD2D,Xiaomi Inc.,,,,,
16-bit UUID for Members,0xFD2E,Bitstrata Systems Inc.,,,,,
16-bit UUID for Members,0xFD2F,Bitstrata Systems Inc.,,,,,
16-bit UUID for Members,0xFD30,Sesam Solutions BV,,,,,
16-bit UUID for Members,0xFD31,LG Electronics Inc.,,,,,
16-bit UUID for Members,0xFD32,Gemalto Holding BV,,,,,
16-bit UUID for Members,0xFD33,"DashLogic, Inc.",,,,,
16-bit UUID for Members,0xFD34,Aerosens LLC.,,,,,
16-bit UUID for Members,0xFD35,Transsion Holdings Limited,,,,,
16-bit UUID for Members,0xFD36,Google LLC,,,,,
16-bit UUID for Members,0xFD37,TireCheck GmbH,,,,,
16-bit UUID for Members,0xFD38,Danfoss A/S,,,,,
16-bit UUID for Members,0xFD39,PREDIKTAS,,,,,
16-bit UUID for Members,0xFD3A,Verkada Inc.,,,,,
16-bit UUID for Members,0xFD3B,Verkada Inc.,,,,,
16-bit UUID for Members,0xFD3C,Redline Communications Inc.,,,,,
16-bit UUID for Members,0xFD3D,"Woan Technology (Shenzhen) Co., Ltd.",,,,,
16-bit UUID for Members,0xFD3E,"Pure Watercraft, inc.",,,,,
16-bit UUID for Members,0xFD3F,"Cognosos, Inc",,,,,
16-bit UUID for Members,0xFD40,Beflex Inc.,,,,,
16-bit UUID for Members,0xFD41,Amazon Lab126,,,,,
16-bit UUID for Members,0xFD42,"Globe (Jiangsu) Co.,Ltd",,,,,
16-bit UUID for Members,0xFD43,Apple Inc.,,,,,
16-bit UUID for Members,0xFD44,Apple Inc.,,,,,
16-bit UUID for Members,0xFD45,"GB Solution co.,Ltd",,,,,
16-bit UUID for Members,0xFD46,Lemco IKE,,,,,
16-bit UUID for Members,0xFD47,Liberty Global Inc.,,,,,
16-bit UUID for Members,0xFD48,Geberit International AG,,,,,
16-bit UUID for Members,0xFD49,Panasonic Corporation,,,,,
16-bit UUID for Members,0xFD4A,Sigma Elektro GmbH,,,,,
16-bit UUID for Members,0xFD4B,"Samsung Electronics Co., Ltd.",,,,,
16-bit UUID for Members,0xFD4C,Adolf Wuerth GmbH & Co KG,,,,,
16-bit UUID for Members,0xFD4D,"70mai Co.,Ltd.",,,,,
16-bit UUID for Members,0xFD4E,"70mai Co.,Ltd.",,,,,
16-bit UUID for Members,0xFD4F,Forkbeard Technologies AS,,,,,
16-bit UUID for Members,0xFD50,"Hangzhou Tuya Information Technology Co., Ltd",,,,,
16-bit UUID for Members,0xFD51,UTC Fire and Security,,,,,
16-bit UUID for Members,0xFD52,UTC Fire and Security,,,,,
